file_name,text
cb_001_shaded.png,a man in the cbstyle style
cb_002_shaded.png,a monkey in the cbstyle style
cb_003_shaded.png,a dinosaur in the cbstyle style
cb_004_shaded.png,a turtle in the cbstyle style
cb_005_shaded.png,a shark in the cbstyle style
cb_006_shaded.png,teeth in the cbstyle style
cb_007_shaded.png,a dinosaur in the cbstyle style
cb_008_shaded.png,a horse in the cbstyle style
cb_009_shaded.png,a dolphin in the cbstyle style
cb_010_shaded.png,a bull in the cbstyle style
cb_011_shaded.png,a tricera in the cbstyle style
cb_012_shaded.png,a mouse in the cbstyle style
cb_013_shaded.png,a fish in the cbstyle style
cb_014_shaded.png,a cat in the cbstyle style
cb_015_shaded.png,a lizard in the cbstyle style
cb_016_shaded.png,a bug in the cbstyle style
cb_017_shaded.png,a whale in the cbstyle style
cb_018_shaded.png,a man in the cbstyle style
cb_019_shaded.png,a woman in the cbstyle style
cb_020_shaded.png,a man in the cbstyle style
cb_021_shaded.png,a hand in the cbstyle style
