file_name,text
gc_001.jpg,a metal cube in the garrickstyle style
gc_002.jpg,a wooden cube in the garrickstyle style
gc_003.jpg,a wax cube in the garrickstyle style
gc_004.jpg,a rock cube in the garrickstyle style
gc_005.jpg,a fur cube in the garrickstyle style
gc_006.jpg,a glass cube in the garrickstyle style
gc_007.jpg,a clay cube in the garrickstyle style
gc_008.jpg,a cardboard cube in the garrickstyle style
gc_009.jpg,a jello cube in the garrickstyle style
gc_010.jpg,a metal cylinder in the garrickstyle style
gc_011.jpg,a wooden cylinder in the garrickstyle style
gc_012.jpg,a wax cylinder in the garrickstyle style
gc_013.jpg,a rock cylinder in the garrickstyle style
gc_014.jpg,a fur cylinder in the garrickstyle style
gc_015.jpg,a glass cylinder in the garrickstyle style
gc_016.jpg,a clay cylinder in the garrickstyle style
gc_017.jpg,a cardboard cylinder in the garrickstyle style
gc_018.jpg,a jello cylinder in the garrickstyle style
gc_019.jpg,a tent exterior in the garrickstyle style
gc_020.jpg,a tent interior in the garrickstyle style
gc_021.jpg,a ransacked detective office in the garrickstyle style
