file_name,text
cb_001_glazed.png,a man in the cbstyle style
cb_002_glazed.png,a monkey in the cbstyle style
cb_003_glazed.png,a dinosaur in the cbstyle style
cb_004_glazed.png,a turtle in the cbstyle style
cb_005_glazed.png,a shark in the cbstyle style
cb_006_glazed.png,teeth in the cbstyle style
cb_007_glazed.png,a dinosaur in the cbstyle style
cb_008_glazed.png,a horse in the cbstyle style
cb_009_glazed.png,a dolphin in the cbstyle style
cb_010_glazed.png,a bull in the cbstyle style
cb_011_glazed.png,a tricera in the cbstyle style
cb_012_glazed.png,a mouse in the cbstyle style
cb_013_glazed.png,a fish in the cbstyle style
cb_014_glazed.png,a cat in the cbstyle style
cb_015_glazed.png,a lizard in the cbstyle style
cb_016_glazed.png,a bug in the cbstyle style
cb_017_glazed.png,a whale in the cbstyle style
cb_018_glazed.png,a man in the cbstyle style
cb_019_glazed.png,a woman in the cbstyle style
cb_020_glazed.png,a man in the cbstyle style
cb_021_glazed.png,a hand in the cbstyle style
