file_name,text
cb_001_shaded_glazed.png,a man in the cbstyle style
cb_002_shaded_glazed.png,a monkey in the cbstyle style
cb_003_shaded_glazed.png,a dinosaur in the cbstyle style
cb_004_shaded_glazed.png,a turtle in the cbstyle style
cb_005_shaded_glazed.png,a shark in the cbstyle style
cb_006_shaded_glazed.png,teeth in the cbstyle style
cb_007_shaded_glazed.png,a dinosaur in the cbstyle style
cb_008_shaded_glazed.png,a horse in the cbstyle style
cb_009_shaded_glazed.png,a dolphin in the cbstyle style
cb_010_shaded_glazed.png,a bull in the cbstyle style
cb_011_shaded_glazed.png,a tricera in the cbstyle style
cb_012_shaded_glazed.png,a mouse in the cbstyle style
cb_013_shaded_glazed.png,a fish in the cbstyle style
cb_014_shaded_glazed.png,a cat in the cbstyle style
cb_015_shaded_glazed.png,a lizard in the cbstyle style
cb_016_shaded_glazed.png,a bug in the cbstyle style
cb_017_shaded_glazed.png,a whale in the cbstyle style
cb_018_shaded_glazed.png,a man in the cbstyle style
cb_019_shaded_glazed.png,a woman in the cbstyle style
cb_020_shaded_glazed.png,a man in the cbstyle style
cb_021_shaded_glazed.png,a hand in the cbstyle style
