file_name,text
gc_001_glazed.jpg,a metal cube in the garrickstyle style
gc_002_glazed.jpg,a wooden cube in the garrickstyle style
gc_003_glazed.jpg,a wax cube in the garrickstyle style
gc_004_glazed.jpg,a rock cube in the garrickstyle style
gc_005_glazed.jpg,a fur cube in the garrickstyle style
gc_006_glazed.jpg,a glass cube in the garrickstyle style
gc_007_glazed.jpg,a clay cube in the garrickstyle style
gc_008_glazed.jpg,a cardboard cube in the garrickstyle style
gc_009_glazed.jpg,a jello cube in the garrickstyle style
gc_010_glazed.jpg,a metal cylinder in the garrickstyle style
gc_011_glazed.jpg,a wooden cylinder in the garrickstyle style
gc_012_glazed.jpg,a wax cylinder in the garrickstyle style
gc_013_glazed.jpg,a rock cylinder in the garrickstyle style
gc_014_glazed.jpg,a fur cylinder in the garrickstyle style
gc_015_glazed.jpg,a glass cylinder in the garrickstyle style
gc_016_glazed.jpg,a clay cylinder in the garrickstyle style
gc_017_glazed.jpg,a cardboard cylinder in the garrickstyle style
gc_018_glazed.jpg,a jello cylinder in the garrickstyle style
gc_019_glazed.jpg,a tent exterior in the garrickstyle style
gc_020_glazed.jpg,a tent interior in the garrickstyle style
gc_021_glazed.jpg,a ransacked detective office in the garrickstyle style
